,row,col,avg_score_row,avg_score_col,score_diff_row_minus_col,row_wins_binary,coop_rate_row,coop_rate_col,mean_coop_rate_pair,RPI,CPI
0,Cooperator,Cooperator,3.0,3.0,0.0,0,1.0,1.0,1.0,0.0,0.30000000000000004
1,Cooperator,Defector,0.0,5.0,-5.0,0,1.0,0.0,0.5,-0.9999999998,-0.5499999998599999
2,Cooperator,Grudger,3.0,3.0,0.0,0,1.0,1.0,1.0,0.0,0.30000000000000004
3,Defector,Cooperator,5.0,0.0,5.0,1,0.0,1.0,0.5,0.9999999998,0.84999999986
4,Defector,Defector,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,Defector,Grudger,1.02,0.995,0.025000000000000022,1,0.0,0.005,0.0025,0.012406947884661575,0.009434863519263103
6,Grudger,Cooperator,3.0,3.0,0.0,0,1.0,1.0,1.0,0.0,0.30000000000000004
7,Grudger,Defector,0.995,1.02,-0.025000000000000022,0,0.005,0.0,0.0025,-0.012406947884661575,-0.007934863519263102
8,Grudger,Grudger,3.0,3.0,0.0,0,1.0,1.0,1.0,0.0,0.30000000000000004
