,strategy_id,strategy_name,assigned_color,deterministic,Niceness,Retaliation,Forgiveness,OverallCoop,AvgPayoff
0,1,AON2,#ff0000,1,1.0,0.9048521929553368,0.0,0.7136381578947368,2.780519736842105
1,2,APavlov2006,#ff0900,1,1.0,0.9390716795754448,0.6761810193666269,0.7605460526315789,2.685269736842105
2,3,APavlov2011,#ff1300,1,1.0,0.8813740142375256,0.7037723127823626,0.7787105263157895,2.683236842105263
3,4,Adaptive,#ff1d00,1,1.0,0.0824213218120346,0.0673076923076923,0.496781954887218,2.2391870300751884
4,5,AdaptiveTitForTat,#ff2700,1,1.0,0.9346153846153846,1.0,0.8340404135338345,2.7257857142857147
5,6,Aggravater,#ff3100,1,0.0,1.0,0.0,0.0897744360902255,1.8629849624060149
6,7,Alexei,#ff3b00,1,1.0,1.0,0.9996777208325685,0.8304135338345864,2.721812030075188
7,8,Alternator,#ff4500,1,1.0,1.0,1.0,0.5,1.833937030075188
8,9,AlternatorHunter,#ff4f00,1,1.0,0.0051282051282051,0.0,0.9273842105263158,2.3218872180451124
9,10,AntiCycler,#ff5900,1,1.0,0.1457992707754422,0.8899210620006848,0.9549999999999996,1.881015977443609
10,11,AntiTitForTat,#ff6300,1,1.0,0.0,,0.6225704887218044,1.7664868421052633
11,12,Appeaser,#ff6d00,1,1.0,1.0,0.0,0.7936917293233082,2.5811146616541354
12,13,BackStabber,#ff7700,1,1.0,0.1920374707259953,0.0,0.6931964285714286,2.856964285714286
13,14,Bully,#ff8100,1,0.0,0.0,,0.6181466165413534,1.7892105263157898
14,15,Capri,#ff8b00,1,1.0,1.0,0.5500769420864525,0.7170253759398496,2.7908524436090225
15,16,CollectiveStrategy,#ff9500,1,1.0,1.0,0.0,0.020812969924812,1.9480413533834584
16,17,ContriteTitForTat,#ff9f00,1,1.0,1.0,1.0,0.8321503759398495,2.722168233082707
17,18,Cooperator,#ffa900,1,1.0,0.0,,1.0,2.3087763157894736
18,19,CooperatorHunter,#ffb300,1,1.0,0.0,,0.9585986842105264,1.952355263157895
19,20,CycleHunter,#ffbd00,1,1.0,0.041025641025641,0.0,0.9217763157894736,2.361828947368421
20,21,CyclerCCCCCD,#ffc700,1,1.0,0.1429582350686941,1.0,0.8339999999999999,1.904369360902256
21,22,CyclerCCCD,#ffd100,1,1.0,0.2480200552160399,1.0,0.75,1.876313909774436
22,23,CyclerCCCDCD,#ffdb00,1,1.0,0.4846110643266684,1.0,0.6669999999999999,1.89481484962406
23,24,CyclerCCD,#ffe500,1,1.0,0.3897535560613665,1.0,0.6669999999999999,1.839690789473684
24,25,CyclerDC,#feef00,1,0.0,1.0,1.0,0.5,1.7933900375939849
25,26,CyclerDDC,#fbf500,1,0.0,1.0,0.2496185687126379,0.333,1.7465338345864665
